id,name
2975,Laurence Fishburne
6384,Keanu Reeves
530,Carrie-Anne Moss
1107983,Martin Luther King
52057,Obba Babatundé
110380,Colin Powell
8349,Martin Sheen
3084,Marlon Brando
3087,Robert Duvall
64,Gary Oldman
1776,Francis Ford Coppola
564,Richard Linklater
584,Philip K. Dick
529,Guy Pearce
532,Joe Pantoliano
180659,Rosa Parks
1280183,Coretta Scott King
2787630,Valentin Zorin
89289,Jesse Jackson
2102583,Andrew Cohen
73988,Lyndon B. Johnson
2803017,Arthur John Birch
2954,Jeffrey Wright
33663,Donald Trump
937663,Neil Amdur
1931175,Bob Beamon
1700943,Jelani Cobb
938972,Angela Davis
1236595,Henry Louis Gates  Jr.
559610,Allen West
2198533,Candace Owens
2699648,Robert Woodson
1209864,Yoruba Richen
2685726,Delbert Hunt
2764421,Marquette Folley
2535,Vivica A. Fox
225620,Rudolph Moise
1038,Jodie Foster
4173,Anthony Hopkins
349,Scott Glenn
4587,Halle Berry
9780,Angela Bassett
19011,George W. Bush
146687,Tony Blair
1122373,Marion Barry Jr.
1122374,Chuck Brown
1122375,Lewis Franklin
11367,Bradley Whitford
31028,Richard Schiff
3266,Joe Mantegna
36059,Joanna Pacula
1179102,Kathleen Kennedy
21010,Alexandra Hay
101032,Rod McCary
928944,Coleman Barks
2022250,Robert Bly
9979,Peter Coyote
514,Jack Nicholson
6193,Leonardo DiCaprio
1892,Matt Damon
7796,Illeana Douglas
851784,Mackenzie Foy
125025,Joey King
122889,Dane DeHaan
2641,Martin Landau
72028,Arye Gross
4724,Kevin Bacon
66743,Matt Bomer
1461,George Clooney
2098136,Brian Becker
2098137,Richard Becker
9857,Karl Malden
5248,Lee J. Cobb
1158,Al Pacino
3085,James Caan
1662371,Jay Sebring
82702,Michael Jackson
65605,Muhammad Ali
47775,Marc Anthony
4483,Dustin Hoffman
13570,Samuel Goldwyn
3417,Tony Goldwyn
6729,Robert Benton
491,John Williams
8406,John Calley
103829,Jason Presson
515,Glenn Close
380,Robert De Niro
84678,Johnny Cash
106179,Anthony Franciosa
10190,Jill St. John
5250,Jack Klugman
3810,Javier Bardem
72305,Lesley Manville
44735,Jesse Eisenberg
3037,Richard Dreyfuss
4951,Robert Dalva
8487,Gregory Peck
8490,John Megna
6838,Frank Overton
1415341,Kazuhiro Tsuji
1267653,Chet Zar
1003,Jean Reno
524,Natalie Portman
3894,Christian Bale
1810,Heath Ledger
3895,Michael Caine
10980,Daniel Radcliffe
10989,Rupert Grint
10990,Emma Watson
219479,Criss Angel
1101349,Steve Aoki
5064,Meryl Streep
488,Steven Spielberg
2559324,Beth Lane
27888,Raúl Juliá
2303,Wim Wenders
5293,Willem Dafoe
1,George Lucas
1032,Martin Scorsese
1150,Brian De Palma
489,Kathleen Kennedy
55983,Jim Henson
7908,Frank Oz
134,Jamie Foxx
1006721,Charles Scorsese
14538,Don Phillips
7779,Sean Daniel
1820819,Kent Jones
569,Ethan Hawke
46300,Alexander Nathan Etel
27889,Stephan Elliott
1331,Hugo Weaving
10850,Kevin Feige
3223,Robert Downey Jr.
1408141,Fred Korematsu
1386798,Joseph McCarthy
100709,Junior Wells
21111,John F. Kennedy
2802990,Jean Paul Getty
2803001,Haroldson Lafayette Hunt
13348,Howard Hughes
117418,Mahalia Jackson
1188876,Horace Clarence Boyer
61399,Mike Ditka
1701850,Jim McMahon
1723195,Mike Singletary
1050881,Jacqueline Kennedy
1074129,Fred Rogers
2066306,François Scarborough Clemmons
173729,Yo-Yo Ma
1184462,Ben Maccabee
72129,Jennifer Lawrence
10943,Francis Lawrence
27972,Josh Hutcherson
1072882,Mindy Robinson
1987684,Dywayne Thomas
1145892,Ed Koch
227811,Herschel Walker
1222706,Skip Bayless
1167702,Bruno Sammartino
1167703,Bob Backlund
1748,William Shatner
2323039,Catherine Mercado-Muñiz
2339577,Carmen Yulín Cruz
10127,Jon Voight
1229169,Roger Ailes
1816204,Frederick Oberlander
1816207,Tevfik Arif
1224993,Wolf Blitzer
2837033,Jim Acosta
56446,John Cena
151043,Randy Orton
77120,Steve Austin
2399215,Jamal Khashoggi
2763159,Omar Abdulaziz
2769274,Agnès Callamard
1314544,Cenk Uygur
998458,Gavin McInnes
1923219,Richard Spencer
2569912,Liane Rudolph
2601848,Pyotr Tolstoy
1173567,Vladimir Pozner
21216,Kim Delaney
58792,Jack Scalia
16620,Hulk Hogan
1236595,Henry Louis Gates  Jr.
2161106,Sebastian Gorka
2161107,Raheem Kassam
2161104,Corey Lewandowski
2255261,Michel Zlotowski
4960,Charles Bronson
15753,Jill Ireland
1103791,Joan Agajanian Quinn
95678,Jean-Michel Basquiat
567335,Chris Benoit
115788,Paul Michael Lévesque
112219,Michael Hickenbottom
937664,Abraham Beame
937665,Bob Bright
1236595,Henry Louis Gates  Jr.
1236595,Henry Louis Gates  Jr.
2791669,Erika Andiola
2791670,Bob Bland
1262488,Emicida
10055,Fernanda Montenegro
81724,Zeca Pagodinho
1236595,Henry Louis Gates  Jr.
27011,Vanessa Williams
2238924,Florence LaRue
1236595,Henry Louis Gates  Jr.
2130,Cary Elwes
16431,Sam Elliott
2203,Neal McDonough
504777,Andrew Breitbart
561450,Herman Cain
1087302,Thomas Sowell
21353,Isaiah Washington
105762,Jimmy Jean-Louis
139,Uma Thurman
140,Lucy Liu
21563,Corin Nemec
1922617,Joy Rovaris
587035,Nadji Jeter
154382,Jazsmin Lewis
31134,Darrin Henson
74613,Terri J. Vaughn
2545,Lawrence Bender
138,Quentin Tarantino
1222355,Barry Nolan
8984,Bill Pullman
1220781,Shelly Altman
115002,John Aniston
7447,Alec Baldwin
88620,Lauren Collins
19961,Nina Dobrev
180986,Cassie Steele
1142230,Jessica Geneus
1142232,Soledad Elizabeth Jean
13,Albert Brooks
5049,John Hurt
10774,Anne Bancroft
9560,Ellen Burstyn
689,Kate Capshaw
8258,Ben Johnson
12021,Mia Farrow
18248,Mary-Louise Parker
59219,Kyle Gallner
9825,Saffron Burrows
1137,Juliette Binoche
11770,John Carpenter
8891,John Travolta
12852,Barry Corbin
3800,Jerry Hall
33181,Jimmy Smits
63611,Nickolas Grace
53574,Eric Thal
2710,James Cameron
44038,Nancy Allen
44796,Franklyn Ajaye
77896,Bill Bellamy
1897,Bernie Mac
18471,Anthony Anderson
74036,Tom Arnold
35705,Regina Hall
143242,Terrence Jenkins
56323,Tina Fey
16828,Chris Evans
103,Mark Ruffalo
1189929,Condoleezza Rice
7904,Billy Crystal
134328,Alexandra Pelosi
2801284,Anthony Amsterdam
1670479,Abbas Abdi
1625013,Mahmoud Ahmadinejad
84384,Osama bin Laden
1322032,John Ashcroft
1322033,Bob Brenly
1236595,Henry Louis Gates  Jr.
2203808,Sérgio Vieira de Mello
1442410,Trevor Phillips
1442411,Nigel Farage
1306064,Princess Diana
174981,Prince Charles
28626,Arielle Dombasle
3614,Michel Houellebecq
37759,Kathy Burke
20056,Keith Allen
2330903,Amir Amor
287,Brad Pitt
192,Morgan Freeman
12052,Gwyneth Paltrow
26009,Gail O'Grady
1067583,Suzanne Happ
33,Gary Sinise
5149,Bonnie Hunt
2144,Tobin Bell
141,David Carradine
2505,James Cromwell
8213,Sam Robards
6104,Julian Sands
10698,Tchéky Karyo
76184,Bryan Marshall
30672,Sandor Elès
1183966,Angus Duncan
45002,Angel Tompkins
20861,Heidi Brühl
39770,Adam Roarke
34721,Larry Bishop
16896,James Garner
8857,Debbie Reynolds
15395,Maurice Ronet
56890,Malcolm McDowell
46393,Roseanne Barr
8893,Stockard Channing
1162,Robert Loggia
9789,Robert Altman
6449,Warren Beatty
20212,Dermot Mulroney
1204,Julia Roberts
21818,Lesley Ann Warren
1204293,J. Allen Hynek
27116,Kevin Conway
1066777,Mumia Abu-Jamal
65013,Rubin 'Hurricane' Carter
4808,Giancarlo Esposito
67315,Tenzin Gyatso
2734157,Xiaoming Zhu
2045089,Jeanmarie Simpson
4687,Patricia Arquette
7071,Louise Fletcher
518,Danny DeVito
10409,Shelley Duvall
7077,Scatman Crothers
240,Stanley Kubrick
34947,Kevin Conroy
1262612,Neal Adams
21200,Will Arnett
61110,Fred Armisen
707,Dan Aykroyd
2282,Ben Kingsley
3899,Ken Watanabe
24045,Joseph Gordon-Levitt
21007,Jonah Hill
234352,Margot Robbie
27319,Christoph Waltz
9261,Frank Abagnale Jr.
2157,Robin Williams
880,Ben Affleck
19498,Jon Bernthal
31,Tom Hanks
3197,Tom Sizemore
53,Peter Stormare
28782,Monica Bellucci
10297,Matthew McConaughey
83002,Jessica Chastain
1813,Anne Hathaway
11665,Michael Angarano
2171,Griffin Dunne
176557,Mark Kassen
19453,Tom Bower
1141310,Joe Dietl
81316,Reid Scott
10767,Barbara Hershey
1366083,Grace Kaufman
11477,Ray Liotta
4517,Joe Pesci
204,Kate Winslet
20508,Iain Glen
2034418,Jacob Elordi
518627,Joel Courtney
1535219,McCaul Lombardi
21029,Billy Burke
123725,Abigail Spencer
76512,Jason Clarke
6046,Roland Emmerich
57637,James Hetfield
69230,Lars Ulrich
1205143,John Gazarian
1205144,Darlene Landau
9805,Sally Kellerman
24589,Paul Mercurio
24590,Dominique Sanda
57905,Lindsay Wagner
18589,Lee Majors
105270,Tom Schanley
2638,Cary Grant
2639,Eva Marie Saint
2091,James Mason
47879,John Savage
104895,James Wilder
59846,Joanne Baron
1339982,Robert Lee
69342,Matty Simmons
1524,Harold Ramis
163630,Mart Crowley
5374,Jim Parsons
190,Clint Eastwood
14701,Carroll Baker
32377,Enrico Maria Salerno
9762,Jean Sorel
1936,Martin Balsam
5247,John Fiedler
30233,Rosalind Russell
19550,Melvyn Douglas
80237,Binnie Barnes
1159,Steven Bauer
1160,Michelle Pfeiffer
39996,Sidney Lumet
22082,Lacey Chabert
2057865,AnnaRose King
1778612,Ted Tremper
1848881,Becky Yamamoto
1227278,Siedah Garrett
2636676,David Williams
134710,Pat Dade
134711,Amy Smallman
2687948,Isaiah Sanders
108881,Brad Buxer
926,Ola Ray
1905,Vincent Price
4610,John Landis
16178,Rick Baker
10750,Sheryl Crow
1234966,Greg Phillinganes
2426206,Danny Wu
2284427,Charles Thomson
5657,Anjelica Huston
11510,Macaulay Culkin
18793,Kieran Culkin
110001,Phil Collins
8851,Whitney Houston
16303,Céline Dion
66586,Mariah Carey
122750,Leslie Uggams
109897,Ethel Merman
6352,Jane Fonda
13301,Quincy Jones
54421,Janet Jackson
53397,Christina Aguilera
1201284,Jacques Peretti
140567,Donny Osmond
20156,Sammy Davis Jr.
4347,Frank Sinatra
4299,Dean Martin
37934,André Benjamin
15310,Anthony Kiedis
45042,Adam Ant
553721,Nick Ashford
1789239,Renaldo Benson
990578,Rocky Marciano
1056814,Chris Dundee
107375,Joe Frazier
2712640,Mark Holden
65606,George Foreman
87919,Mark Calaway
4135,Robert Redford
13717,Bob Woodward
73931,Bette Midler
142439,Emmett Kelly
109404,Vito Russo
863,Orson Bean
21278,Alan Alda
13724,Jane Alexander
10400,Barbra Streisand
19803,Leonardo Sbaraglia
1084298,Alfredo Casero
35,Sally Field
21399,Ron Silver
1221217,Anne-Sophie Mutter
2297235,Antony Horder
10930,Irvin Kershner
2140901,Gary Kurtz
130,Kenny Baker
33185,Jeremy Bulloch
14782,Andrew Robinson
147,Michael Madsen
32396,Richard Belzer
36190,Edie Falco
44712,Jill Eikenberry
2056726,Kevin Dobson
66776,Liza Minnelli
40389,Bernadette Peters
5699,Patti LuPone
4512,James Woods
4513,Elizabeth McGovern
4430,Sharon Stone
14702,Cathy Moriarty
4690,Christopher Walken
3096,John Cazale
45001,Steve Allen
73421,Joaquin Phoenix
1545693,Zazie Beetz
1259,Ennio Morricone
19665,John Boorman
67773,Steve Martin
3092,Diane Keaton
519,Martin Short
73641,Christiane Amanpour
1202593,Neil Barnard
33684,Bono
138986,Tony Bennett
85564,Andrea Bocelli
174982,Neil Pearson
10823,Kris Kristofferson
28767,June Carter Cash
1504297,Marshall Grant
230198,Bob Wooton
230199,Dave Rowe
1215645,Roy Clark
87026,Linda Ronstadt
201417,Merle Haggard
2681602,W.S. Holland
1253615,Patsy Cline
70274,Chet Atkins
1559401,Jim Dickinson
1504296,Luther Perkins
1555968,Ian MacLean
15425,Neil Young
1347896,Jessi Colter
230249,Rosanne Cash
368,Reese Witherspoon
181452,Kix Brooks
1487,Bob Dylan
1490,Joan Baez
111270,Waylon Jennings
8261,Willie Nelson
230253,Marty Stuart
80625,George Burns
1251736,Bobby Bare
1066389,Bill Anderson
57446,Mark Romanek
215486,Fiona Apple
1161962,Brian Bell
4959,Claudia Cardinale
78934,Betsy Blair
33741,Rita Hayworth
70985,Gig Young
50967,Doug McClure
940155,Alfred Drake
86104,Patricia Morison
231773,Julie Wilson
2744,Carmen Maura
3131,Antonio Banderas
98357,Pilar López de Ayala
34902,Jane Horrocks
18972,Danny Masterson
2687,Lyriq Bent
155890,Julie Garfield
2210813,Ellen Adler
2879828,Joseph Bernard
